id,eng,afr,xho,ssw,nbl,nso,ven,tso,sot,tsn,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info
dsac_pharmacy_first_edition_264,forceps / tongs,tang / pinset / forceps / knyper / klem / klamp,isibambo kwigumbi lotyando,ludlawu,idlawu,sepato,fosepusi,xitsavulo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_265,formaldehyde,formaldehied,ifomalidihayidi,ifomalidihayidi,ifomaldihayidi,fomaletehaete / lenaneohlare,fomaḽadihaidi / fomaldihaidi,fomalidihayidi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_266,formulary,formularium,uluhlu lwamayeza agunyazisiweyo,luhlu lwemitsi legunyatiwe,irhelo leenhlahla ezenyuliweko / ifomulari,fomulari,mutevhe wa mushongatiwa / fomuḽari,nxaxamelo wa mirhi / nongoloko wa mirhi / fomulari,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_267,frostbite,vriesbrand,ukutyiwa yiqabaka,kudlavutwa lichwa / umdlavutwamakhata,amarhojani,kgobalohlolwakebotšididi,mupisexwatu,vuvabyi bya gwitsi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_268,gallstone,galsteen,amatye enyongo,litjenyongo,ilitjana lenyongo,maswikanagala,thongwana kha tshavhuṱungu,xiribyananyongweni,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_269,gamete / sex cell,gameet / geslagsel,iseli yenzala,liselintalo,iseli lobulili / igamithi,diselepeu,sele ya mbeu / tsiki ya mbeu,selembeleko,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_270,gangrene,gangreen,ukubola kwelungu lomzimba / igangrini,igangrini / kuvundza kwesicu semtimba,isifula / igengrini,kankerine,tsiṋatsikila / tsiṋasele / gangirini / gangrini,phokolo / gangarini,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_271,gargle / gargle solution,gorrelmiddel,iyeza lokurharhaza,sihahati,isirharhazi,go kgakgametša,mukulu-kusha,xihhahhazi / xigobyoti,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_272,gastric ulcer / stomach ulcer,maagseer / maagsweer / peptiese ulkus / gastriese ulkus,isilonda esikwinwebu yesisu / ialsa yesisu,silondza sasesiswini,isilonda esisemathunjini / i-alsa engemathunjini,sešomogodung / seso mohodung,zwilondathumbuni,xilondza-ndzeni-ka-khwiri,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_273,gastroenteritis,gastroënteritis / gastro-enteritis / maag-en-dermontsteking / maag-dermontsteking,ukukrala kwesisu,kuvuvuka kwesisu / kudvumba kwesisu,ubuhlungu bamathumbu,tšhatšhamelothurogo,nzwimbathumbu,mpfimbabyeke / ndzhumbelabyeke,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_274,gastrointestinal,gastroïntestinaal / gastro-intestinaal / maag-derm,-phathelene nesisu,-phatselene nesisu,-phathelene namathumbu,-dilego ka teng,thumbuni,-byeke,,,adjective,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_275,gatekeeper,hekwagter,umxilongi wokuqala,umhlahlilunyango,umhlahlindlela kezokwelapha,mohlokomediphelo / mmulamadibogo,muṱanganedzamulwadze,makombandlela wa vatshunguriwa,,,,e.g. health professional,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_276,gauze,gaas,igozi / ibhandeji eyasuyasu,igozi / ibhandishisisefo,ibhanditjhi eyisefana,lešelanakhupetšantho,gozo,gozi,,,,bandage,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_277,gelatin,gelatien,ijelathini,ijelathini / setiyisi,ijelathini,tšelathini / sethemiši,dzheḽathini,jelathini,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_278,gene,geen,ijini / isakhi sofuzo,sakhilufuto,isakhi sefuzo / isithako sefuzo,tšini / lešika,nzhieladzofhani / dzhini,xilawulantekelelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_279,general anaesthesia / general anesthesia,narkose / algemene verdowing / anestesie,ukulalisa izivo,kudzambisa imiva yonkhe,ukulaliselwa ukuhlinzwa,kidibatšoyammeleohle / kidibatšommelemoka,tshidzidzivhadzinyangaredzi,ntitivatamiri / ndzhidzhihatamiri,,,Great Britain,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_280,gene therapy,geenterapie,unyango ngesakhi sofuzo,lunyangosakhi selufuto,ukwelapha ngesakhi sefuzo / ukwelapha ngesithako sefuzo,kalafomokgwašika / kalafomokgwatšine,thyeraphidzhieladzofhani / thyeraphi ya dzhini,ntshungulo wa xilawulantekelelo / therapi ya xilawulantekelelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_281,genetic disease,genetiese siekte,isifo esilufuzo,sifolufuto,isifo sefuzo,bolwetšišika,vhulwadze ha nzhieladzofhani / dzhini,vuvabyitekelelwa,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_282,genome,genoom / chromosoomstel,izakhi zofuzo,takhilufuto letiphelele,izakhi zefuzo sezizoke / iinthako zefuzo sezizoke / ijinomu,ditšini ka moka / lešikaohle / tšinoumu,ṱhanganyelo ya dzhieladzofhani / ṱhanganyelo ya dzhinomu / ṱhanganyelo ya dzhini,swilawulantekelelo hinkwaswo / jinomu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_283,geriatric care management / elder care management / GCM,bejaardesorgbestuur / geriatriesesorgbestuur,unyango lwabadala,lulawulomphilo lwalabadzala / lulawulo lwekunakekelwa kwalabadzala,ilawulo letlhogomelo labadala / ilawulo lokutjhejwa kwabadala,taolotlhokomelotšofe,ndaulo ya ndondolavhaaluwa,vulawulanhlayiso bya vadyuhari / vulawulavuongori bya vadyuhari,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_284,glaucoma,gloukoom,iglukhoma / uxinzelelo kwiliso,sifo semitsambo yeliso / iglokhoma,ubulwele bemithambo yelihlo / idlhawukhoma,kgatelelokgoloihlong / tlelokhoma,glakhoma / vhulwadze ha vhuṱaledzi ha mato,vuvabyi bya nsiha wa tihlo / dlilawukhoma,,,,eye condition,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_285,glidant,glymiddel,isihambisilula esingumgubo,sishelelelisi / sihambisi,isitjhelelisi,sethelediši,tshisuvhisi,xirhetisi,,,,in tablet making,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_286,glycerin / glycerine / glycerol,gliserien / gliserine / gliserol,igliserina,iglezerini,idlhezerina,tleleserini,giḽezerina / glezerine,dleserina,,,Preferred,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_287,good clinical practice / GCP,goeie kliniese praktyk,ulandelomigaqo kwezonyango,kwelapha lokulungile,imikghwa emihle kezokwelapha,medirolebakalafo,mashumele kwao a zwa mutakalo,matirheloxitlinikali ma hombe,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_288,good distribution practice / GDP,goeie verspreidingspraktyk,ulandelomigaqo kwezohanjisomayeza,tindlela letilungile tekusatjalaliswa kwemitsi,imikghwa emihle yesabalalisonhlahla,dihlarephatlalatšokam aleba,mashumele kwao a zwa nḓisedzo,mahangalaselonene,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_289,gout,jig,igawuthi,likhunkhulo / igawuthi,igawuthi,kaoto,gauthu,gawuti,,,,inflammation of the joints,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_290,granulation,granulering / granulasie / verkorreling / korreling,ubumbopilisi,kwenta emahhaye,ukubumba ipilisi,thorofatšo,u bveledzathoro / u bveledzamadzhoro / vhusikamadzhoro / vhusikathoro / vhubveledzamadzhoro / vhubveledzathoro,ndzhohohato / njhorhohato,,,,e.g. tablet making,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_291,green-stick fracture,groenhoutbreuk / buigbreuk / knakbreuk,ukuchachamba nokugobeka kwethambo,kufafabuka nekugobeka kwelitsambo,ukuthathamba kwethambo / ukusasamba kwethambo,phetlego / thinyego,phiḓeo,mpandzekompetseko-rhambumatabyana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_292,gripe water,krampwater,igripe water,i-gripe water / umutsi wamankhatjana,i-gripe water,kraepewotha,gireipiwotha,xiwundza,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_293,habit-forming,gewoontevormend / afhanklikheidsvormend,uqheloyeza ngumzimba,-tayetanako,-qhelako / -jayelako,-hlolago bokgoba / -lemago,dzema,-titoloveta,,,adjective,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_294,halitosis / bad breath,halitose / slegte asem / stinkasem,ukunuka komlomo,liphunga lemlomo / kunuka kwemlomo,ukunuka komlomo,nkgolegano,u nukhamulomo / vhunukhamulomo,manghumbu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_295,hallucination,hallusinasie / sinsbedrog,ukubona nokuva okungekhoyo,kuhhema,ukubona nokuzwa izinto ezingekho,mafofonyane,mafhafhaḓo,mihahamo / mijamujamu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_296,hard drug,harde dwelm / hoog verslawende dwelm / hoogs verslawende dwelm,isiyobisi esinamandla,sidzakamiva lesibukhali / sidzakamiva lesinemandla,isidakamizwa esibukhali,seokobatšimaatla / seokobatšigale,tshidzidzivhadzi tsha vhuhali,xidzidziharisi xa matimba / xidzidziharisi xa ntamu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_297,health hazard,gesondheidsgevaar / gesondheidsrisiko,ubungozi kwezempilo,bungoti kutemphilo,ubungozi kezamaphilo,kotsiphelo,khombo kha mutakalo,khombo eka rihanyu / nghozi eka rihanyu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_298,heartburn,sooibrand / pirose,isitshisa / isilungulela,silungulela,isilungulela,seokolela,tshiungulela,xangulelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_299,heart disease / cardiovascular disease,hartkwaal / hartsiekte / kardiovaskulêre siekte,isifo sentliziyo,sifo senhlitiyo,ubulwele behliziyo / isifo sehliziyo,bolwetši bja pelo,vhulwadze ha mbilu,vuvabyi bya mbilu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_300,heart failure / HF,hartversaking,ukuyekelela kwentliziyo,kungasebenti kahle kwenhlitiyo,ukubhalelwa kwehliziyo,go palelwa ga pelo / go šitwa ga pelo,u kundelwa ha mbilu,ntsandzeko wa mbilu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_301,heart transplant,hartoorplanting,ufakelontliziyo,inhlitiyo yekufakwa,ukufakelwa ihliziyo,pšalollo ya pelo,vhudzhenisambilu,nsimulansimeko wa mbilu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_302,heat exhaustion,hitteuitputting / warmteuitputting,ukudutywa bubushushu,kucotjwa kushisa / kudvubuteka ngekushisa,ukuqotjwa mtjhiso,bolwetšihlolwakephišo,maneto nga mufhiso,makarhalo rihisa / ntshimbitelo rihisa,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_303,herbal medicine,kruiemedisyne,iyeza lemvelo,emakhambi,isihlahla sesintu,mešunkwane,mushongamubva kha tshimela,vutshunguri bya mitsembyana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_304,herbal tea,kruietee,iti eliyeza,litiya lemakhambi ekwelapha,itiye eyelaphako,teyemešunkwane,tie ya tshimela / tie ya mushonga / tie ya hebaḽa,tiya ya mitsembyana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_305,hereditary disease,oorerflike siekte / erflike siekte / hereditêre siekte,isifo esifuzwayo,sifo selufuto,ubulwele befuzo / isifo sefuzo,bolwetšiabela,vhulwadzemamela / vhulwadzedzhiela,vuvabyintekelelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_306,hernia / rupture,breuk / henia,iheniya,sikhwacetfumbu,iheniya,senapa / henia,thuzuwa / henia,heniya,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_307,high blood pressure / hypertension,hoë bloeddruk / hipertensie,uxinzelelogazi oluphezulu,umfutfongati lophakeme,umfutho weengazi ophezulu,madi a magolo,Mutsikonṱha wa malofha / vhuombisi,n’ombe / mahayihayi / ngatikulu / ngatimahika,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_308,high-cost patient,hoëkostepasiënt,isigulane esiziindleko,sigulane lesinetindleko letinkhulu,isigulani seendleko eziphezulu,molwetšikalafotura / molwetšikalafobitša,mulwadze wa dzilafho ḽa u ḓura / mulwadze wa dzilafho ḽa mutengo wa nṱha,muvabyi wo durha,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_309,high-risk patient,hoërisikopasiënt,isigulane esisemngciphekweni / isigulane esikwimeko emaxongo,sigulane lesisemeni lesibucayi,isigulani sobujamo obuyingozi,molwetšibakwabadimo / molwetšidiphateng,mulwadze wa tshiimo tsha shishi / mulwadze wa tshiimo tshi tatisaho,muvabyi wa nxungeta henhla,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_310,hoarseness,heesheid,ukutshothoza,kuhoshota kwelivi,ukurhoroza,kgwašontšu,manzaranzara,mambvharambvhara,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_311,homoeopathic medicine / homeopathic medicine,homeopatiese medisyne / homopatiese medisyne,ichiza lehomiyophathi / ichiza elingumngxengwa,umutsimvelo / likhambimvelo,iintatha / iinhlahla zehomiyophathi,ditšwatlhagong,mishongathimbanywa / mushonga wa homiophathyi,murhi wa vutshungulaxintubuluko,,,Great Britain,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_312,homoeopathy / homeopathy,homeopatie / homopatie,ihomiyophathi,kwelapha ngemakhambimvelo / kwelapha ngemutsimvelo,ukwelapha ngeentatha / ukwelapha ngokwehomiyophathi,kalafitlhago,vhutimbanyamishonga / homiophathyi,vutshungulaxintumbuluko,,,Great Britain,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_313,hookworm,haakwurm,intshulube enamazinyo,linyokane,iinyokanakghophola,noganakobi / hukuweme,ṋowanathithisadangani,nyokanyokanaxinjovo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_314,hormone,hormoon,incindi yedlala,sakhilufuto,ihomoni,homoune,homounu,homoni,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_315,horse pill / horse ball,perdepil,ipilisi enkulu / ugqokomisa wepilisi,liphilisi lelikhulu / ingcuzuma,ipilisi elikhulu,philisikgolo / pilisigadi,philisi khulwane,dyiphilisi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_316,hospital-only medicine / HOM,hospitaalmedisyne,iyeza elithathelwa esibhedlele,umutsi wasesibhedlela kuphela,isihlahla sesibhedlela kwaphela,dihlarehwetšwabookelong,mushongangwanwa sibadela fhedzi / mushongangwanwa vhuongeloni fhedzi,murhintirhiswa-exibedhlelentsena,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_317,hospital pharmacy,hospitaalapteek,ikhemesti yesibhedlele,likhemisi lasesibhedlela,ikhemisi yesibhedlela,khemisibookelo,famasi ya vhuongeloni / famasi ya sibadela,khemisi ya xibedhlele,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_318,human placental lactogen / hPL,menslike plasentale laktogeen / menslike plasentalaktogeen / hPL,incindi yedlala lomkhaya / incindi yedlala lomgcantsi / incindi yedlala lesingxobo,ihomoni yendlu yemntfwana / ihomoni yengaladza,ihomoni yengubo yomntwana,homowunesetšwamorago / homowunesentšhamaswithari,homounu ya nguvho ya ṅwana / nguvho,homoni ya nkumba wa n'wana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_319,hydrochloric acid / HCl,soutsuur,ihayidroklorikhi asidi / i-HCI,ihayidroklorikhi esidi,isidlavuzi sehayidrotlorikhi / ihayidrotlorikhi esidi,esiti ya haeterotllelorikhi,esidi ya haiḓirokuḽoriki / dungi ḽa haiḓirokuḽoriki,hayidirotlilorikiasidi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_320,hydrogenation,hidrogenering / hidrogenasie,ukufaka ihayidrojini,kufaka ihayidrojini,ukufaka ihayidrojini,tšhelo ya haeterotšene,nyinga haiḓirodzheni,vuchelahayidirojeni,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_321,hydrophilic,hidrofilies / waterliewend,-nyibilika lula emanzini,-munya kalula,-ncibilika lula / ihayidrofilikhi,-ratago meetse,funamaḓi,-rhandzaka mati,,,adjective,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_322,hydrosoluble / water soluble,wateroplosbaar,-nyibilika emanzini,-ncibilika emantini,-ncibilikako emanzini,-tologago ka meetseng,ṋokamaḓini / ṋokiseamaḓini,-n'okaka ematini,,,adjective,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_323,hygroscopic,higroskopies,-tsala ukufuma,-dvonsamswakamo / -dvonsamhwamuko,-dosa umnyula emmoyeni,-monago meetse,kokodzamuṋula,-kokaka ndzhongo,,,adjective,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_324,hyperglycaemia / hyperglycemia / high blood sugar,hiperglukemie / hoë bloedsuiker,iswekile enyukileyo egazini / ihayipheglasemiya,luphakamoshukela engatini,itjhukela ephezulu eengazini,swikirintšhimadi,swigiri ya nṱha malofhani / swigiri yo kalulaho malofhani,chukelahenhlangatini,,,Great Britain,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_325,hyperlipidaemia / hyperlipidemia / high blood cholesterol,hiperlipoïdemie / hiperlipidemie,amafutha agqithisileyo egazini,emafutsa lamanyenti engatini,amafutha amanengi eengazini,makhurantšimadi,mapfura manzhi muvhilini / muvhilinyandamapfura,talamafurhangatini,,,Great Britain,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_326,hypoglycaemia / hypoglycemia / low blood sugar,hipoglukemie / lae bloedsuiker,iswekile ehlileyo egazini / ihayiphoglasemiya,lwehloshukela engatini,itjhukela ephasi eengazini,swikirifasemadi,swigiri ya fhasi malofhani,chukelahansingatini,,,Great Britain,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_327,hypotension / low blood pressure,hipotensie / lae bloeddruk,uxinzelelo oluhlileyo egazini / ihayiphothenshini,umfutfongati lophasi,umfutho weengazi ophasi,kgatelelofasemadi,mutsiko wa fhasi malofhani / muveliso wa fhasi malofhani,ntshikelelahansingatini,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_328,hypoxia,hipoksie / suurstoftekort,ukusilela komongomoya kwizicwili / ihayiphoksiya,kungeneli kwe-oksijini emantfweshini emtimba,ukutlhayela kwe-oksijini emathitjhwini,tlhaelelo ya okisitšene mmeleng,ṱhahalelo ya okisidzheni,hungutekomoyatenga tithixwini,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_329,hysterectomy,histerektomie,ukukhutshwa kwesibeleko,kukhishwa kwesibeletfo,ukukhutjhwa kwesibeletho,ntšhopopelo,u bvisa mbumbelo,nsusa-xivelekelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_330,hysteria,histerie,ukuphaphazela,lihabhiya / emafufunyane,irhabiya,letšhogophetelelo,vhuhavhiya,hariya,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_331,immune response,immuunreaksie,ukuzikhusela komzimba,kutivikela kwemtimba,ukuzilwela komzimba / ukuzivikela komzimba,boitwelomašolemmele / go itwela ga mašole a mmele,tsireledzo nga maswole a muvhili,ku tilwela ka miri,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_332,immunity,immuniteit,ukomelelela izifo komzimba,kusawoteka,ukugomeka / ukusowudeka,thetelommele,thilo ya muvhili / nyelulothivhelavhulwadze,nsawuto,,,,medical,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_333,implant,inplanting / inplantaat,ichiza elisisifakelwamzimbeni,sifakwamtimbeni,isifakelwa,setsentšhwammeleng / sebjalwammeleng,tshidzheniswamuvhilini,xinghenisiwamirini,,,noun,into the body,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_334,indication,aanduiding / indikasie,imo evumelana nonyango / ungqinelwanoyeza nokugula,inhlosolunyango / sifo lesingelashwa,okuvumelana nobujamo,tšhupohlare,ndivhorandelwa ya mushonga,xikombantirho xa murhi,,,,medication,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_335,indigestion / dyspepsia / dyspepsy,slegte spysvertering / indigestie / dispepsie,ukungacoleki kokutya,kucumba,ukubhinjidelwa / uqurhelwa,go se šilege,tshayatsukanyo,nkampfuvelo / nkanghayelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_336,inert gas / noble gas,inerte gas / edelgas / onreaktiewe gas,igesi engatshintshi lula,igesi lenganyakati,irhasi engatjhugulukiko,kgasetšhikanoši / kgasešomannosi,gesetshayatshinyadzi,gasi ya inete,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_337,infarct,infark / infarkt / infarksie,isicwili esifileyo,incenye yesitfo lefako / incenye yemtimba lefile,ukufa kwethitjhu,go hwa ga dithišu / lehuthišu,tsikila dzo faho / tsikila dzi no khou fa,ku fa ka tithixu,,,,dying or dead tissue,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_338,infective dose / ID,infektiewe dosis,umlinganiselontsholongwane odala usuleleko,silinganisobanga lekwesuleleka,isilinganiso esigulisako,bokalotekanyophetetšo / boelotekanyophetetšo,phimo ya tshitzhilidwadze,mpimamurhi wo vanga ntluletavuvabyi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_339,inflammation,inflammasie / ontsteking,ukukrala,kuvuvuka / kudvumba,umqubukofutha,tšhatšhamelothurugo,nzwimbo,mpfimbo / ndzhumbelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_340,inhalation therapy,inasemterapie / inhalasieterapie,unyango ngokurhogela,kwelapha ngekuhosha / kwelapha ngekuhogela,ukwelatjhwa ngokukhokha / ukwelatjhwa ngokurhogela,kalafokhemo,dzilafhofembedza,mphungula / ku orhela,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_341,inhalator / inhaler,inhaleerder / inhalator / verstuiwer,isirhogelisi,sihoshisi / sihogelisi,isikhokhisi / isirhogelisi,sehemiši,tshifemisi,xidzahisi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_342,initial dose / loading dose,ladingsdosis / aanvangsdosis,umlinganiselo wokuqalisa unyango / umlinganiselo wokulinga unyango,silinganisomutsi sekucala / umtsamomutsi wekucala,isilinganiso sokuthoma,tekanyohlaretheo,phimothangeli ya mushonga,mpimamurhi wa xidzi / mpimamurhi wa masungulo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_343,injectable medicine,inspuitbare medisyne / inspuitmedisyne,iyeza elitofwayo,umutsi wekujova,isihlahla sokujova / isihlahla soku-enda,dihlarehlabelego,mushonga wa u ṱhavhelwa,murhintlhavelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_344,injection,inspuiting,ukutofa / ukuhlaba inaliti,kujova,ukujova / uku-enda,tlhabelo,u ṱhavhela / vhuṱhavheli,ntlhavelo,,,,process or act,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_345,innocuous / harmless,onskadelik,-ngenabungozi / -ngalimaziyo,-ngenabungoti / -phephile,-nganangozi / -phephileko,se nago kotsi,sa vha khombo / -tshayakhombo,-nkakhombo / -nkanghozi,,,adjective,e.g. medicine,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_346,in-patient care,binnepasiëntversorging / binnepasiëntsorg / hospitaalpasiëntversorging / hospitaalpasiëntsorg,ukunyangelwa esibhedlele,kulashelwa esibhedlela,ukwelatjhelwa esibhedlela,kalafelobookelong,ndondolomulwadze vhuongeloni / ndondolamulwadze sibadela / ndondolo ya mulwadze o valelwaho,vuongorirmuvabyilatiwa / vutshungurimuvabyilatiwa / nhlayisamuvabyilatiwa,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_347,insomnia,slaaploosheid / slapeloosheid / insomnie,ukuphuthelwa buthongo,sifo sekungehlelwa butfongo,ukuphilelwa / ukuhlubayela,bolwetšitlhobaelo,vhushayakhofhe,nkelunkelu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_348,insulin,insulien / insuline,i-insulini,i-insulini,i-insulini,insuline,inisuḽini / insuḽini,insulini,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_349,integral dose,totale dosis / volledige dosis,umlinganiselotshiso lomhlaza,silinganisomutsi lesidzingekako / umtsamomutsi lodzingekako,isilinganiso esifunekako / isilinganiso esibekiweko,tekanyohlaremokaphišo,phimondinganelo,mpimamatimbantsongiwo / mpimantamuntswongiwo,,,,radiation,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_350,integrated care,geïntegreerde sorg / geïntegreerde versorging,indibanisela yonyango,kwelapha lokuyinhlanganisela,itjhejo lezokwelapha elihlanganyelweko,kalafokopanetšwego / kalafotsenelelano,ndondoloṱhanganelwa,vuongorinhlanganelo / vutshungurinhlanganelo / nhlayisanhlanganelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_351,intensive care unit / critical care unit,intensiewesorgeenheid / ISE,icandelo labakwimo emandundu / icandelo labakwimo exhalabisayo,ligumbi lalabagula kakhulu,iwodi yabagula khulu / ikumba yabagula khulu,yunitikalafotsenelelo,yuniti ya ndondolo ya shishi,yunitiphulaniphulani,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_352,intermediate,tussenproduk / tussenstof,isithungelanisimveliso,umkhicito longakapheleli / umkhicito longakaloyeli,isigaba esiphakathi sokukhiqiza,khemikhalegarehlare,thimbwanakati,vumakixikarhi,,,noun,drug manufacturing,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_353,intestinal infection / enteric infection,intestinale infeksie / derminfeksie / ingewandsinfeksie,usuleleko emathunjini,kungenwa sifo sematfumbu,ukusuleleka ngemathunjini / ukutshwayeleka ngemathunjini,phetetšomaleng / tshwaetšomaleng,vhulwadze ha malani,ntlulelavuvabyimarhumbyini,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_354,intradermal,intradermaal / binnehuids / intradermies,-tofa esikhumbeni / -hlaba inaliti esikhumbeni,-ngekhatsi esikhunjeni,-ngesikhunjeni,-gare ga dillaga tša letlalo,lukandani,-ndzeni ka nhlonge,,,adjective,e.g. an injection,,,,,,,,,,,,,,,,,,
